"","Keyword","Monthly Volume","Adwords CPC","Adwords Comp","Volume Trend  (12 mo)"
"","rhubarb","301,000","$0.16","0.28",""
"","rhubarb crumble","90,500","$0.19","0.01",""
"","rhubarb recipes","90,500","$0.09","0.05",""
"","rhubarbe","74,000","$0.78","0.01",""
"","rhubarb pie","60,500","$0.32","0.04",""
"","rhubarb strawberry pie","60,500","$0.64","0.04",""
"","tarte rhubarbe","60,500","$0.18","0.00",""
"","rhubarb crisp","40,500","$0.14","0.02",""
"","rhubarb strawberry crisp","27,100","$0.13","0.00",""
"","rhubarb cake","22,200","$0.11","0.05",""
"","rhubarb gin","22,200","$0.54","1.00",""
"","rhubarb plant","22,200","$0.26","1.00",""
"","apple and rhubarb crumble","18,100","$0.17","0.01",""
"","rhubarb jam","14,800","$0.25","0.26",""
"","rhubarb muffins","14,800","$0.10","0.05",""
"","rhubarb and ginger gin","14,800","$0.31","1.00",""
"","rhubarb strawberry jam","12,100","$0.29","0.22",""
"","compote de rhubarbe","12,100","$0.18","0.00",""
"","rhubarb and custard","12,100","$0.09","0.10",""
"","rhubarb cake recipe","9,900","$0.14","0.08",""
"","rhubarb growing","9,900","$0.17","0.04",""
"","rhubarb how to grow","9,900","$0.17","0.04",""
"","rhubarb pie recipe","9,900","$0.18","0.04",""
"","rhubarb recipes cake","9,900","$0.14","0.08",""
"","growing rhubarb","9,900","$0.17","0.04",""
"","rhubarb and custard sweets","9,900","$0.14","1.00",""
"","is rhubarb","9,900","$0.08","0.00",""
"","rhubarb fruit","8,100","$0.18","0.08",""
"","rhubarb tarts","8,100","$0.14","0.03",""
"","is rhubarb a fruit","8,100","$0.18","0.08",""
"","rhubarb crisp recipe","6,600","$0.15","0.04",""
"","rhubarb compote","6,600","$0.13","0.01",""
"","rhubarb custard pie","6,600","$0.10","0.05",""
"","rhubarb harvest","6,600","$0.00","0.00",""
"","rhubarb poisonous","6,600","$0.00","0.00",""
"","rhubarb sauce","6,600","$0.13","0.02",""
"","cooking rhubarb","6,600","$0.07","0.02",""
"","is rhubarb poisonous","6,600","$0.00","0.00",""
"","rhubarb desserts","5,400","$0.10","0.04",""
"","rhubarb desserts","5,400","$0.10","0.04",""
"","rhubarb fool","5,400","$0.11","0.00",""
"","rhubarb forcing","5,400","$0.16","0.21",""
"","rhubarb fruit or vegetable","5,400","$0.00","0.00",""
"","rhubarb jam recipe","5,400","$0.16","0.07",""
"","rhubarb leaves","5,400","$0.13","0.12",""
"","freezing rhubarb","5,400","$0.92","0.01",""
"","is rhubarb a fruit or a vegetable","5,400","$0.00","0.00",""
"","rhubarb apple crumble","4,400","$0.27","0.01",""
"","rhubarb bread","4,400","$0.12","0.06",""
"","rhubarb flower","4,400","$0.09","0.33",""
"","rhubarb muffin recipe","4,400","$0.14","0.06",""
"","rhubarb recipes muffins","4,400","$0.14","0.06",""
"","rhubarb upside down cake","4,400","$0.12","0.04",""
"","rhubarb chutney","4,400","$0.25","0.03",""
"","rhubarb and ginger jam","4,400","$0.31","0.15",""
"","rhubarb apple crisp","3,600","$0.13","0.01",""
"","rhubarb bars","3,600","$0.13","0.07",""
"","rhubarb benefits","3,600","$0.07","0.07",""
"","rhubarb dump cake","3,600","$0.28","0.04",""
"","rhubarb dump cake","3,600","$0.28","0.04",""
"","rhubarb leaves poisonous","3,600","$0.02","0.00",""
"","rhubarb coffee cake","2,900","$0.17","0.04",""
"","rhubarb ginger gin","2,900","$0.52","1.00",""
"","rhubarb healthy recipes","2,900","$0.11","0.07",""
"","rhubarb in spanish","2,900","$0.00","0.00",""
"","rhubarb recipes healthy","2,900","$0.11","0.07",""
"","rhubarb syrup","2,900","$0.31","0.72",""
"","rhubarb taste","2,900","$0.02","0.00",""
"","rhubarb vegetable","2,900","$0.07","0.13",""
"","rhubarb vodka","2,900","$0.27","1.00",""
"","rhubarb wine","2,900","$0.66","0.88",""
"","rhubarb apple pie","2,400","$0.10","0.02",""
"","rhubarb nutrition","2,400","$0.06","0.01",""
"","rhubarb restaurant","2,400","$0.00","0.00",""
"","rhubarb tart recipe","2,400","$0.13","0.02",""
"","slingsby rhubarb gin","2,400","$0.37","1.00",""
"","rhubarb and strawberry pie","1,900","$0.47","0.07",""
"","rhubarb easy recipes","1,900","$0.17","0.08",""
"","rhubarb health benefits","1,900","$0.09","0.06",""
"","rhubarb ice cream","1,900","$0.69","0.17",""
"","rhubarb scones","1,900","$0.07","0.04",""
"","rhubarb wine recipes","1,900","$0.32","0.03",""
"","rhubarb cookies","1,900","$0.12","0.06",""
"","rhubarb galette","1,600","$0.17","0.02",""
"","rhubarb jelly","1,600","$0.25","0.32",""
"","rhubarb juice","1,600","$0.36","0.54",""
"","rhubarb pudding","1,600","$0.11","0.02",""
"","rhubarb and strawberry jam","1,300","$0.23","0.10",""
"","rhubarb blueberry crisp","1,300","$0.54","0.02",""
"","rhubarb gin cocktail","1,300","$1.45","0.08",""
"","rhubarb liqueur","1,300","$0.32","1.00",""
"","rhubarb raspberry pie","1,300","$0.35","0.02",""
"","rhubarb and custard gin","1,300","$0.51","1.00",""
"","rhubarb dream bars","1,000","$0.08","0.02",""
"","rhubarb dream bars","1,000","$0.08","0.02",""
"","rhubarb how to eat","1,000","$0.06","0.00",""
"","rhubarb loaf","1,000","$0.05","0.04",""
"","rhubarb muffins healthy","1,000","$0.11","0.05",""
"","rhubarb when to pick","1,000","$0.00","0.01",""
"","rhubarb drink","880","$0.46","0.90",""
"","rhubarb drink","880","$0.46","0.90",""
"","rhubarb ginger jam","880","$0.22","0.20",""
"","rhubarb in arabic","880","$0.00","0.00",""
"","rhubarb lemonade","880","$0.26","0.08",""
"","rhubarb loaf cake","880","$0.05","0.02",""
"","rhubarb meringue pie","880","$0.00","0.01",""
"","rhubarb near me","880","$0.19","0.79",""
"","rhubarb raspberry crisp","880","$0.09","0.02",""
"","rhubarb relish","880","$0.09","0.07",""
"","rhubarb slush","880","$0.07","0.04",""
"","rhubarb squares","880","$0.06","0.08",""
"","rhubarb toxic","880","$0.00","0.01",""
"","rhubarb uses","880","$0.13","0.03",""
"","rhubarb varieties","880","$0.16","0.90",""
"","rhubarb and strawberry crisp","720","$0.07","0.01",""
"","rhubarb for sale","720","$0.32","1.00",""
"","rhubarb freezer jam","720","$0.10","0.06",""
"","rhubarb plant care","720","$0.68","0.11",""
"","rhubarb pudding cake","720","$0.08","0.04",""
"","rhubarb tea","720","$0.35","1.00",""
"","rhubarb banana muffins","590","$0.11","0.02",""
"","rhubarb bbq sauce","590","$0.97","0.02",""
"","rhubarb breakfast cake","590","$0.06","0.02",""
"","rhubarb extract","590","$0.25","1.00",""
"","rhubarb growing conditions","590","$0.04","0.01",""
"","rhubarb jam with jello","590","$0.13","0.14",""
"","rhubarb margarita","590","$2.62","0.06",""
"","rhubarb muffins pioneer woman","590","$0.08","0.10",""
"","rhubarb muffins with sour cream","590","$0.07","0.04",""
"","rhubarb oatmeal muffins","590","$0.07","0.06",""
"","rhubarb torte","590","$0.23","0.05",""
"","is rhubarb poisonous to dogs","590","$0.00","0.00",""
"","rhubarb dogs","480","$0.00","0.01",""
"","rhubarb dogs","480","$0.00","0.01",""
